"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование обновления сущности и её дополнений","2421","T-011","","Tue Nov 11 11:09:34 UTC 2025","passed","Tue Nov 11 11:09:36 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","patchEntityPTest"
"Тестирование получения всех сущностей","17280","T-010","","Tue Nov 11 11:09:24 UTC 2025","passed","Tue Nov 11 11:09:41 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","getAllEntityPTest"
"Тестирование работоспособности удаления клиента банка","15600","T-006","","Tue Nov 11 11:08:59 UTC 2025","passed","Tue Nov 11 11:09:14 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","deleteCustomerPTest"
"Тестирование работоспособности базовой функциональности формы Form Fields.","14233","T-001","","Tue Nov 11 11:08:59 UTC 2025","passed","Tue Nov 11 11:09:13 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillFormPTest"
"Тестирование работоспособности сортировки списка клиентов банка по First Name","12361","T-005","","Tue Nov 11 11:09:01 UTC 2025","passed","Tue Nov 11 11:09:13 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","sortTablePTest"
"Тестирование блокирования функционала и подсветки нативной валидаци поля Nameи при его пропуске и полном заполнении других полей.","11811","T-003","","Tue Nov 11 11:09:01 UTC 2025","passed","Tue Nov 11 11:09:13 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNameNTest"
"Тестирование работоспособности функциональности формы Form Fields при заполнении исключительно обязательного поля Name.","10349","T-002","","Tue Nov 11 11:09:01 UTC 2025","passed","Tue Nov 11 11:09:11 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNamePTest"
"Тестирование создания сущности","8651","T-007","","Tue Nov 11 11:09:23 UTC 2025","passed","Tue Nov 11 11:09:31 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","createEntityPTest"
"Тестирование получения сущности по id","10993","T-009","","Tue Nov 11 11:09:23 UTC 2025","passed","Tue Nov 11 11:09:34 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","idGetEntityPTest"
"Тестирование удаления сущности","6697","T-008","","Tue Nov 11 11:09:31 UTC 2025","passed","Tue Nov 11 11:09:38 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","deleteEntityPTest"
"Тестирование работоспособности базовой функциональности создания нового клиента банка","13223","T-004","","Tue Nov 11 11:09:01 UTC 2025","passed","Tue Nov 11 11:09:14 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","createCustomerUserPTest"
