"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование работоспособности сортировки списка клиентов банка по First Name","12890","T-005","","Tue Nov 11 10:19:38 UTC 2025","passed","Tue Nov 11 10:19:50 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","sortTablePTest"
"Тестирование блокирования функционала и подсветки нативной валидаци поля Nameи при его пропуске и полном заполнении других полей.","12688","T-003","","Tue Nov 11 10:19:38 UTC 2025","passed","Tue Nov 11 10:19:50 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNameNTest"
"Тестирование удаления сущности","8084","T-008","","Tue Nov 11 10:19:59 UTC 2025","broken","Tue Nov 11 10:20:07 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","deleteEntityPTest"
"Тестирование обновления сущности и её дополнений","490","T-011","","Tue Nov 11 10:19:59 UTC 2025","broken","Tue Nov 11 10:20:00 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","patchEntityPTest"
"Тестирование работоспособности удаления клиента банка","17072","T-006","","Tue Nov 11 10:19:35 UTC 2025","passed","Tue Nov 11 10:19:52 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","deleteCustomerPTest"
"Тестирование работоспособности базовой функциональности создания нового клиента банка","13904","T-004","","Tue Nov 11 10:19:37 UTC 2025","passed","Tue Nov 11 10:19:51 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","createCustomerUserPTest"
"Тестирование получения сущности по id","2257","T-009","","Tue Nov 11 10:19:57 UTC 2025","broken","Tue Nov 11 10:19:59 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","idGetEntityPTest"
"Тестирование получения всех сущностей","1450","T-010","","Tue Nov 11 10:19:58 UTC 2025","broken","Tue Nov 11 10:19:59 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","getAllEntityPTest"
"Тестирование работоспособности базовой функциональности формы Form Fields.","15755","T-001","","Tue Nov 11 10:19:35 UTC 2025","passed","Tue Nov 11 10:19:50 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillFormPTest"
"Тестирование работоспособности функциональности формы Form Fields при заполнении исключительно обязательного поля Name.","11177","T-002","","Tue Nov 11 10:19:38 UTC 2025","passed","Tue Nov 11 10:19:49 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNamePTest"
"Тестирование создания сущности","2258","T-007","","Tue Nov 11 10:19:57 UTC 2025","broken","Tue Nov 11 10:19:59 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","createEntityPTest"
