"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование работоспособности сортировки списка клиентов банка по First Name","12750","T-005","","Tue Nov 11 10:17:39 UTC 2025","passed","Tue Nov 11 10:17:51 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","sortTablePTest"
"Тестирование получения всех сущностей","1830","T-010","","Tue Nov 11 10:17:59 UTC 2025","broken","Tue Nov 11 10:18:01 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","getAllEntityPTest"
"Тестирование создания сущности","2677","T-007","","Tue Nov 11 10:17:59 UTC 2025","broken","Tue Nov 11 10:18:01 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","createEntityPTest"
"Тестирование работоспособности функциональности формы Form Fields при заполнении исключительно обязательного поля Name.","10694","T-002","","Tue Nov 11 10:17:39 UTC 2025","passed","Tue Nov 11 10:17:49 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNamePTest"
"Тестирование обновления сущности и её дополнений","822","T-011","","Tue Nov 11 10:18:01 UTC 2025","broken","Tue Nov 11 10:18:02 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","patchEntityPTest"
"Тестирование работоспособности базовой функциональности формы Form Fields.","14486","T-001","","Tue Nov 11 10:17:36 UTC 2025","passed","Tue Nov 11 10:17:51 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillFormPTest"
"Тестирование работоспособности удаления клиента банка","15875","T-006","","Tue Nov 11 10:17:36 UTC 2025","passed","Tue Nov 11 10:17:52 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","deleteCustomerPTest"
"Тестирование получения сущности по айди","2675","T-009","","Tue Nov 11 10:17:59 UTC 2025","broken","Tue Nov 11 10:18:01 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","idGetEntityPTest"
"Тестирование блокирования функционала и подсветки нативной валидаци поля Nameи при его пропуске и полном заполнении других полей.","12264","T-003","","Tue Nov 11 10:17:39 UTC 2025","passed","Tue Nov 11 10:17:51 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNameNTest"
"Тестирование удаления сущности","822","T-008","","Tue Nov 11 10:18:01 UTC 2025","broken","Tue Nov 11 10:18:02 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","deleteEntityPTest"
"Тестирование работоспособности базовой функциональности создания нового клиента банка","13747","T-004","","Tue Nov 11 10:17:39 UTC 2025","passed","Tue Nov 11 10:17:52 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","createCustomerUserPTest"
