"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование создания сущности","8180","T-007","","Tue Nov 11 10:43:13 UTC 2025","passed","Tue Nov 11 10:43:21 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","createEntityPTest"
"Тестирование блокирования функционала и подсветки нативной валидаци поля Nameи при его пропуске и полном заполнении других полей.","12038","T-003","","Tue Nov 11 10:42:57 UTC 2025","passed","Tue Nov 11 10:43:09 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNameNTest"
"Тестирование работоспособности базовой функциональности создания нового клиента банка","13312","T-004","","Tue Nov 11 10:42:57 UTC 2025","passed","Tue Nov 11 10:43:10 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","createCustomerUserPTest"
"Тестирование удаления сущности","8212","T-008","","Tue Nov 11 10:43:21 UTC 2025","passed","Tue Nov 11 10:43:29 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","deleteEntityPTest"
"Тестирование обновления сущности и её дополнений","2815","T-011","","Tue Nov 11 10:43:23 UTC 2025","passed","Tue Nov 11 10:43:26 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","patchEntityPTest"
"Тестирование получения сущности по id","9860","T-009","","Tue Nov 11 10:43:13 UTC 2025","passed","Tue Nov 11 10:43:23 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","idGetEntityPTest"
"Тестирование работоспособности базовой функциональности формы Form Fields.","14382","T-001","","Tue Nov 11 10:42:55 UTC 2025","passed","Tue Nov 11 10:43:09 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillFormPTest"
"Тестирование работоспособности функциональности формы Form Fields при заполнении исключительно обязательного поля Name.","10480","T-002","","Tue Nov 11 10:42:57 UTC 2025","passed","Tue Nov 11 10:43:08 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNamePTest"
"Тестирование работоспособности удаления клиента банка","15667","T-006","","Tue Nov 11 10:42:55 UTC 2025","passed","Tue Nov 11 10:43:11 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","deleteCustomerPTest"
"Тестирование получения всех сущностей","16638","T-010","","Tue Nov 11 10:43:14 UTC 2025","passed","Tue Nov 11 10:43:30 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","getAllEntityPTest"
"Тестирование работоспособности сортировки списка клиентов банка по First Name","12401","T-005","","Tue Nov 11 10:42:57 UTC 2025","passed","Tue Nov 11 10:43:09 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","sortTablePTest"
