"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование работоспособности базовой функциональности формы Form Fields.","7121","T-001","","Tue Nov 11 13:20:23 UTC 2025","passed","Tue Nov 11 13:20:30 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillFormPTest"
"Тестирование получения сущности по id через API","1884","T-009","","Tue Nov 11 13:20:49 UTC 2025","passed","Tue Nov 11 13:20:51 UTC 2025","","tests.api.CrudTests","tests.api.CrudTests","idGetEntityApiPTest"
"Тестирование создания сущности","9580","T-007","","Tue Nov 11 13:20:35 UTC 2025","passed","Tue Nov 11 13:20:45 UTC 2025","","tests.api.CrudTests","tests.api.CrudTests","createEntityPTest"
"Проверка, что после создания сущность сохраняется в БД","10641","T-012","","Tue Nov 11 13:20:35 UTC 2025","passed","Tue Nov 11 13:20:46 UTC 2025","","tests.api.CrudTests","tests.api.CrudTests","createEntityPersistedInDbPTest"
"Тестирование удаления сущности","13213","T-008","","Tue Nov 11 13:20:45 UTC 2025","passed","Tue Nov 11 13:20:58 UTC 2025","","tests.api.CrudTests","tests.api.CrudTests","deleteEntityPTest"
"Тестирование обновления сущности и её дополнений","2860","T-011","","Tue Nov 11 13:20:46 UTC 2025","passed","Tue Nov 11 13:20:49 UTC 2025","","tests.api.CrudTests","tests.api.CrudTests","patchEntityPTest"
"Тестирование работоспособности удаления клиента банка","8265","T-006","","Tue Nov 11 13:20:23 UTC 2025","passed","Tue Nov 11 13:20:31 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","deleteCustomerPTest"
"Тестирование работоспособности сортировки списка клиентов банка по First Name","6356","T-005","","Tue Nov 11 13:20:24 UTC 2025","passed","Tue Nov 11 13:20:30 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","sortTablePTest"
"Тестирование работоспособности функциональности формы Form Fields при заполнении исключительно обязательного поля Name.","4697","T-002","","Tue Nov 11 13:20:24 UTC 2025","passed","Tue Nov 11 13:20:29 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNamePTest"
"Тестирование блокирования функционала и подсветки нативной валидаци поля Nameи при его пропуске и полном заполнении других полей.","6375","T-003","","Tue Nov 11 13:20:24 UTC 2025","passed","Tue Nov 11 13:20:30 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNameNTest"
"Тестирование работоспособности базовой функциональности создания нового клиента банка","7732","T-004","","Tue Nov 11 13:20:24 UTC 2025","passed","Tue Nov 11 13:20:31 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","createCustomerUserPTest"
"Тестирование получения всех сущностей","26099","T-010","","Tue Nov 11 13:20:37 UTC 2025","passed","Tue Nov 11 13:21:03 UTC 2025","","tests.api.CrudTests","tests.api.CrudTests","getAllEntityPTest"
