"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование работоспособности удаления клиента банка","7994","T-006","","Tue Nov 11 11:58:59 UTC 2025","passed","Tue Nov 11 11:59:07 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","deleteCustomerPTest"
"Тестирование удаления сущности","7541","T-008","","Tue Nov 11 11:59:21 UTC 2025","passed","Tue Nov 11 11:59:29 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","deleteEntityPTest"
"Тестирование работоспособности базовой функциональности формы Form Fields.","6671","T-001","","Tue Nov 11 11:58:59 UTC 2025","passed","Tue Nov 11 11:59:06 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillFormPTest"
"Тестирование работоспособности сортировки списка клиентов банка по First Name","6265","T-005","","Tue Nov 11 11:59:00 UTC 2025","passed","Tue Nov 11 11:59:07 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","sortTablePTest"
"Тестирование блокирования функционала и подсветки нативной валидаци поля Nameи при его пропуске и полном заполнении других полей.","5719","T-003","","Tue Nov 11 11:59:00 UTC 2025","passed","Tue Nov 11 11:59:06 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNameNTest"
"Тестирование работоспособности функциональности формы Form Fields при заполнении исключительно обязательного поля Name.","4061","T-002","","Tue Nov 11 11:59:00 UTC 2025","passed","Tue Nov 11 11:59:04 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNamePTest"
"Тестирование создания сущности","10087","T-007","","Tue Nov 11 11:59:11 UTC 2025","passed","Tue Nov 11 11:59:21 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","createEntityPTest"
"Тестирование получения сущности по id","11611","T-009","","Tue Nov 11 11:59:11 UTC 2025","passed","Tue Nov 11 11:59:23 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","idGetEntityPTest"
"Тестирование получения всех сущностей","17094","T-010","","Tue Nov 11 11:59:13 UTC 2025","passed","Tue Nov 11 11:59:30 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","getAllEntityPTest"
"Тестирование работоспособности базовой функциональности создания нового клиента банка","7302","T-004","","Tue Nov 11 11:59:00 UTC 2025","passed","Tue Nov 11 11:59:07 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","createCustomerUserPTest"
"Тестирование обновления сущности и её дополнений","2522","T-011","","Tue Nov 11 11:59:23 UTC 2025","passed","Tue Nov 11 11:59:25 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","patchEntityPTest"
